gpu_node,tflops,depth,total_parameters,active_parameters,required_training_steps,required_training_time,gpu_node_cost,total_training_cost,free_vram_gb,vram_status
A100 (Prime Intellect),312.0,12,497145600,157406976,18965,13.93 hr,1.23,17.14,70.18,OK
A100 (Prime Intellect),312.0,16,1166230528,354632704,44489,3.07 days,1.23,90.58,57.28,OK
A100 (Prime Intellect),312.0,18,1630544256,483926400,62201,5.85 days,1.23,172.82,48.36,OK
A100 (Prime Intellect),312.0,24,3825686016,1107777024,145939,31.44 days,1.23,928.2,6.49,Tight (<10%)
RTX5090 (Prime Intellect),209.5,12,497145600,157406976,18965,20.75 hr,0.92,19.09,22.18,OK
RTX5090 (Prime Intellect),209.5,16,1166230528,354632704,44489,4.57 days,0.92,100.9,9.28,OK
RTX5090 (Prime Intellect),209.5,18,1630544256,483926400,62201,8.72 days,0.92,192.51,0.36,Tight (<10%)
RTX5090 (Prime Intellect),209.5,24,3825686016,1107777024,145939,46.83 days,0.92,1033.93,-41.51,OOM
H100 (Prime Intellect),989.0,12,497145600,157406976,18965,4.40 hr,2.43,10.68,70.18,OK
H100 (Prime Intellect),989.0,16,1166230528,354632704,44489,23.23 hr,2.43,56.45,57.28,OK
H100 (Prime Intellect),989.0,18,1630544256,483926400,62201,1.85 days,2.43,107.71,48.36,OK
H100 (Prime Intellect),989.0,24,3825686016,1107777024,145939,9.92 days,2.43,578.49,6.49,Tight (<10%)
RTX4090x2 (Prime Intellect),165.2,12,497145600,157406976,18965,1.10 days,1.23,32.37,38.18,OK
RTX4090x2 (Prime Intellect),165.2,16,1166230528,354632704,44489,5.80 days,1.23,171.07,25.28,OK
RTX4090x2 (Prime Intellect),165.2,18,1630544256,483926400,62201,11.06 days,1.23,326.39,16.36,OK
RTX4090x2 (Prime Intellect),165.2,24,3825686016,1107777024,145939,59.38 days,1.23,1753.01,-25.51,OOM
